Medio	Pregunta
Página	Con relación a la proliferación de ventas ambulantes en la Universidad, que además de ocupar el espacio público, peatonal y zonas verdes, generan contaminación visual y contaminación por basuras, que programas o políticas aplica o desarrolla en estos momentos la Institución a través de la oficina de Bienestrar Universitario o de otras dependencias? El bien y el derecho de las mayorías debería primar sobre unas minorías que en ocasiones incluso acude a la violencia contra los vigilantes, hasta lograr el ingreso de los productos para la venta (video). Así mismo, la Plaza Santander genera un triste espectáculo de ventas informales en un espacio que al igual que toda la Universidad, debe estar dedicado a la academia y la investigación.
Página	"Aún no me aparece la opción de descarga del recibo de pago de matricula en la opción de ""información financiera"" del Portal Académico."
Página	Me parece importante que se muestren las inversiones hechas con los recursos de estampillas.
Página	Por que hay profesores sin ningún interés pedagógico mantenidos y promovidos en la universidad?
Página	Por que desde la academia no se nos enseña a ser ciudadanos activos, a conocer, utilizar y mejorar los espacios y procesos de participación? La Universidad es un espacio de conocimiento que debe ser potenciado desde la participación, pero nosotros los estudiantes no sabemos participar, no hemos crecido para desarrollar un conocimiento colectivo. La universidad está limitada a divulgar los planes de participación ciudadana que son exigidos desde el gobierno pero no está fundada en la educación en participación, en ser un laboratorio para participar, proponer y evaluar entre todos como ciudadanos del conocimiento y a saber inspirar a otros a participar.
Página	Quisiera saber cuál es la postura de la Rectoría frente al cobro de funciones como servicios al interior de la Universidad, con esto me refiero a que UNIMEDIOS y la DNIA cobran por realizar funciones propias de su ejercicio a otras divisiones o dependencias generando así una mercantilización de funciones y un atrasó en el desarrollo de las actividades mismas para las que se requieren (páginas web, videos, cuñas informativas, cursos en modle, ETC,)
Página	Tengo un inconveniente al momento de usar las computadoras de la biblioteca y para pedir libros ya que cuando registro mi carné y mi huella me dicen que no tengo acceso a esto. ¿Qué puedo hacer?
Página	¿Cuánto tiempo le toma a la Universidad Nacional de Colombia, asignar un titular a los cargos de la División de Bibliotecas? ¿Cuál es el reporte de ocupación y vacancia de esos cargos mes a mes desde el año 2017 a la fecha? ¿Cuál es la apuesta por contribuir al éxito académico de los estudiantes e investigadores sin personal de apoyo? ¿Cuál es la evaluación que permitió concluir que la mejor decisión era extinguir el programa LEA?
Página	No se cuando debo presentarme para mis actividades de bienestar universitario vivo en Tumaco nariño
Página	¿cuanto se invierte del presupuesto de la U. Nal en bienestar universitario de la sede bogotá?
Página	De que manera La Universidad Nacional de Colombia esta aportando al análisis del puerto de Tribugá, teniendo en cuenta uno de sus pilares básicos misionales que reafirman y protegen el patrimonio cultural, natural y ambiental de la Nación? ¿En qué grado se ha cumplido la misión institucional, con los servicios de extensión en la comunidad de los barrios populares de Medellin? ¿De qué manera La Universidad Nacional de Colombia integra los actores sociales en el proceso de construcción de un país mas equitativo y en paz? Que esfuerzos son los que auna para cumplir dicha expectativa ?
Página	Recientemente se ha visto que se han cancelado varios contratos de los empleados de la Universidad, apelando a la situación actual la cuál afecta a los recursos económicos, sin embargo, también es cierto que la virtualidad permite ahorrar de cierto modo recursos, ejemplo, los recibos públicos de la universidad, y el dinero que se gasta en movilidad entrante y saliente. ¿Ésto será tenido en cuenta en el manejo de los recursos y será redireccionado por el bien de la comunidad por ejemplo evitando despidos?
Página	Teniendo en cuenta el nuevo modelo de admisiones que se realizará para el segundo semestre del 2020, ¿Cómo se realizarán las equivalencias entre los resultados antiguos de la prueba de ingreso a la Universidad Nacional y las pruebas ICFES? Teniendo en cuenta que se califican en rangos numéricos distintos.
Página	¿Los recursos de inversión y funcionamiento han cambiado con respecto a los anteriores años?
Página	Me interesa participar del grupo de estudio unal, cuando voy a ingresar me dice que no hay usuarios registrados con mi correo, igual pasa cuando intento recuperar a clave y al momento de registrarme dice que mi correo y numero de identificación ya estan en uso
Página	"Si, como profesional que está cursando un segundo pregrado en esta uni, pregunto: ¿Cuándo van a realizar el proceso de autocrítica y modificar el Acuerdo 006 de 1999? Sugerencia: cobrar a los profesionales en su segundo pregrado a partir de la línea base de posgrado o con base en una media derivada de los valores de universidades privadas (excluyendo los Andes) y a partir de esa línea base aplicar lineamientos de cobro según situación socioeconómica del postulado o estudiante; así se evita caer en la situación de aplicar automáticamente, sin justificación real, el PBM máximo a estos casos. Gracias."
Página	¿Cuándo se podrá utilizar de nuevo el Auditorio León de Greiff, teniendo en cuenta las adecuaciones previstas y el cronograma propuesto? Gracias
Página	Recientemente se ha visto que se han cancelado varios contratos de los empleados de la Universidad, apelando a la situación actual la cuál afecta a los recursos económicos, sin embargo, también es cierto que la virtualidad permite ahorrar de cierto modo recursos, ejemplo, los recibos públicos de la universidad, y el dinero que se gasta en movilidad entrante y saliente. ¿Ésto será tenido en cuenta en el manejo de los recursos y será redireccionado por el bien de la comunidad por ejemplo evitando despidos?
